year,class,round,session,pos,rider_id,number,team,maker,points,result
2010,MotoGP,8,RAC,12,alex-de-angelis,15,Interwetten Honda MotoGP,ホンダ,4,FIN
2010,MotoGP,8,RAC,,mika-kallio,36,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,9,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,9,RAC,2,casey-stoner,27,Ducati Team,ドゥカティ,20,FIN
2010,MotoGP,9,RAC,3,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,16,FIN
2010,MotoGP,9,RAC,4,andrea-dovizioso,4,Repsol Honda Team,ホンダ,13,FIN
2010,MotoGP,9,RAC,5,nicky-hayden,69,Ducati Team,ドゥカティ,11,FIN
2010,MotoGP,9,RAC,6,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,10,FIN
2010,MotoGP,9,RAC,7,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,9,FIN
2010,MotoGP,9,RAC,8,marco-melandri,33,San Carlo Honda Gresini,ホンダ,8,FIN
2010,MotoGP,9,RAC,9,mika-kallio,36,Pramac Racing Team,ドゥカティ,7,FIN
2010,MotoGP,9,RAC,10,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,6,FIN
2010,MotoGP,9,RAC,11,roger-lee-hayden,95,LCR Honda MotoGP,ホンダ,5,FIN
2010,MotoGP,9,RAC,12,alex-de-angelis,15,Interwetten Honda MotoGP,ホンダ,4,FIN
2010,MotoGP,9,RAC,,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,9,RAC,,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,,DNF
2010,MotoGP,9,RAC,,dani-pedrosa,26,Repsol Honda Team,ホンダ,,DNF
2010,MotoGP,9,RAC,,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,,DNF
2010,MotoGP,9,RAC,,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,10,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,10,RAC,2,dani-pedrosa,26,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,10,RAC,3,casey-stoner,27,Ducati Team,ドゥカティ,16,FIN
2010,MotoGP,10,RAC,4,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,13,FIN
2010,MotoGP,10,RAC,5,valentino-rossi,46,Fiat Yamaha Team,ヤマハ,11,FIN
2010,MotoGP,10,RAC,6,nicky-hayden,69,Ducati Team,ドゥカティ,10,FIN
2010,MotoGP,10,RAC,7,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,9,FIN
2010,MotoGP,10,RAC,8,marco-melandri,33,San Carlo Honda Gresini,ホンダ,8,FIN
2010,MotoGP,10,RAC,9,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,7,FIN
2010,MotoGP,10,RAC,10,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,6,FIN
2010,MotoGP,10,RAC,11,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,5,FIN
2010,MotoGP,10,RAC,12,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,4,FIN
2010,MotoGP,10,RAC,13,alex-de-angelis,15,Interwetten Honda MotoGP,ホンダ,3,FIN
2010,MotoGP,10,RAC,,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,10,RAC,,mika-kallio,36,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,10,RAC,,andrea-dovizioso,4,Repsol Honda Team,ホンダ,,DNF
2010,MotoGP,10,RAC,,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,,DNF
