year,class,rider_id,team_id,entry_name,maker,machine,number,rank,points,status
2005,MotoGP,sete-gibernau,gresini,Honda Gresini,ホンダ,RC211V,,7,150,確認済
2005,MotoGP,alex-barros,pons,Camel Honda,ホンダ,RC211V,,8,147,確認済
2005,MotoGP,carlos-checa,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,9,138,確認済
2005,MotoGP,shinya-nakano,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,10,98,確認済
2005,MotoGP,makoto-tamada,jir,Konica Minolta Honda,ホンダ,RC211V,,11,91,確認済
2005,MotoGP,toni-elias,tech3,Fortuna Yamaha MotoGP,ヤマハ,YZR-M1,,12,74,確認済
2005,MotoGP,john-hopkins,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,13,63,確認済
2005,MotoGP,kenny-roberts-jr,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,14,63,確認済
2005,MotoGP,troy-bayliss,pons,Camel Honda,ホンダ,RC211V,,15,54,確認済
2005,MotoGP,ruben-xaus,tech3,Fortuna Yamaha MotoGP,ヤマハ,YZR-M1,,16,52,確認済
2005,MotoGP,olivier-jacque,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,17,28,確認済
2005,MotoGP,roberto-rolfo,pramac,Pramac d'Antin,ドゥカティ,デスモセディチ,,18,25,確認済
2005,MotoGP,alex-hofmann,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,19,24,確認済
2005,MotoGP,jurgen-van-den-goorbergh,jir,Konica Minolta Honda,ホンダ,RC211V,,20,12,確認済
2005,MotoGP,chris-vermeulen,pons,Camel Honda,ホンダ,RC211V,,21,10,確認済
2005,MotoGP,james-ellison,wcm,Blata WCM,ブラタ,,,22,7,確認済
2005,MotoGP,franco-battaini,wcm,Blata WCM,ブラタ,,,23,7,確認済
2005,MotoGP,shane-byrne,team-kr,Team Roberts,プロトンKR,KR5（KTMエンジン、最終戦はホンダエンジン）,,24,6,確認済
2005,MotoGP,david-checa,tech3,Fortuna Yamaha MotoGP,ヤマハ,YZR-M1,,25,4,確認済
2005,MotoGP,ryuichi-kiyonari,pons,Camel Honda,ホンダ,RC211V,,26,4,確認済
2005,MotoGP,tohru-ukawa,moriwaki,Moriwaki Racing,モリワキ,,,27,1,確認済
2005,MotoGP,nobuatsu-aoki,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,28,0,確認済
2005,MotoGP,jeremy-mcwilliams,team-kr,Team Roberts,プロトンKR,KR5（KTMエンジン、最終戦はホンダエンジン）,,29,0,確認済
2005,MotoGP,naoki-matsudo,moriwaki,Moriwaki Racing,モリワキ,,,30,0,確認済
2005,MotoGP,shinichi-ito,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,31,0,確認済
2005,MotoGP,kurtis-roberts,team-kr,Team Roberts,プロトンKR,KR5（KTMエンジン、最終戦はホンダエンジン）,,32,0,確認済
2006,MotoGP,nicky-hayden,honda-hrc,Repsol Honda Team,ホンダ,RC211V,,1,252,確認済
2006,MotoGP,valentino-rossi,yamaha-factory,Camel Yamaha Team,ヤマハ,YZR-M1,,2,247,確認済
2006,MotoGP,loris-capirossi,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,3,229,確認済
2006,MotoGP,marco-melandri,gresini,Fortuna Honda,ホンダ,RC211V,,4,228,確認済
2006,MotoGP,dani-pedrosa,honda-hrc,Repsol Honda Team,ホンダ,RC211V,,5,215,確認済
2006,MotoGP,kenny-roberts-jr,team-kr,Team Roberts,ホンダ,RC211V,,6,134,確認済
